n_qubits,t,rank,nullity,predicted_chi,nullity_ratio,n_ofd,n_non_ofd,rank_eq_n_minus_1
4,18,3,15,32768,0.833333,3,15,true
6,45,5,40,1099511627776,0.888889,5,40,true
8,84,7,77,overflow,0.916667,7,77,true
10,135,9,126,overflow,0.933333,9,126,true
12,198,11,187,overflow,0.944444,11,187,true
16,360,15,345,overflow,0.958333,15,345,true
20,570,19,551,overflow,0.966667,19,551,true
24,828,23,805,overflow,0.972222,23,805,true
32,1488,31,1457,overflow,0.979167,31,1457,true
48,3069,47,3022,overflow,0.984686,47,3022,true
64,4656,63,4593,overflow,0.986469,63,4593,true
128,17424,127,17297,overflow,0.992711,127,17297,true
256,79824,255,79569,overflow,0.996805,255,79569,true
